Area,No. of Rooms,No. of Bathrooms,Location,Miles (dist. between school and house),Rent Price per Month,Sell Price
1360,1,1,Rural,463,7401,74446632
1794,3,1,Suburb,210,9259,76199794
1630,2,1,Suburb,157,16469,16249579
1595,1,1,Suburb,133,18096,24291317
2138,1,1,Suburb,10,9923,50273384
2669,1,1,Suburb,465,10214,7406150
966,1,1,Rural,256,9227,65245261
1738,3,1,City Center,352,17023,51362588
830,3,1,City Center,137,17950,40783890
1982,2,1,Rural,200,16704,54206785
2635,2,1,Rural,76,16343,38469420
630,2,1,City Center,13,17867,72977550
2185,1,1,City Center,451,8745,63413770
1269,1,1,City Center,418,12091,62692404
2891,3,1,City Center,312,9866,20986157
2015,1,1,City Center,303,17956,61087645
2933,1,1,Suburb,152,19993,72607761
1715,1,1,Rural,200,11818,74602415
1455,2,1,Suburb,30,8222,25214047
2824,2,1,City Center,236,8792,52108295
1684,3,1,City Center,322,15889,16095125
959,1,1,City Center,126,19732,51140485
521,1,1,Suburb,446,17654,67868747
2800,3,1,Suburb,311,10063,51144248
1247,1,1,City Center,151,7524,23943886
974,1,1,Suburb,493,18952,23457883
1582,2,1,Suburb,469,14224,67569139
2547,3,1,City Center,410,12198,61651376
1475,3,1,Suburb,48,10025,55844908
2306,3,1,Rural,402,8566,61742545
689,3,1,Rural,364,8803,8014017
1062,2,1,Rural,261,18088,63416012
2399,2,1,Rural,342,9709,60968851
1767,1,1,City Center,216,12155,27672156
2028,1,1,City Center,219,19839,55768169
1146,1,1,City Center,124,6719,43203676
2568,1,1,Rural,234,12516,44168898
2714,2,1,Rural,143,10579,11846866
1797,3,1,Suburb,260,6972,38227330
2935,2,1,Suburb,228,9718,35079221
1100,1,1,Rural,416,13395,51031629
2863,2,1,Rural,452,10402,68959655
2561,3,1,Rural,100,10552,32687546
741,3,1,Rural,363,8207,23127283
2541,2,1,Suburb,385,10426,66427082
1863,2,1,Rural,55,12919,8059385
2639,2,1,Suburb,47,18512,32607070
1890,1,1,Rural,151,17222,41921754
1978,2,1,Rural,109,17767,24152861
1275,2,1,Rural,337,19767,29340093
534,2,1,Suburb,199,17308,71452592
2753,3,1,Suburb,44,17477,28821211
2455,3,1,City Center,156,19370,36016158
2085,1,1,Rural,39,14835,12964705
1521,1,1,City Center,343,18903,48642935
1629,3,1,City Center,93,14386,79741006
2000,3,1,Suburb,378,18188,23022360
1202,3,1,Suburb,290,14680,76931591
2949,2,1,City Center,433,8204,78079673
2079,2,1,Rural,353,16849,9049316
661,3,1,Suburb,279,11345,13503276
701,2,1,Rural,163,9276,33715389
2481,2,1,Rural,111,7102,42515315
1495,1,1,City Center,224,11243,71818320
2817,3,1,City Center,159,12614,68827874
1315,3,1,City Center,441,15433,70027108
955,2,1,City Center,92,14707,55908282
1775,3,1,Suburb,119,19913,64544710
1516,1,1,Suburb,444,11223,32774619
2843,1,1,City Center,396,14584,38105736
837,1,1,Suburb,435,6630,19798270
1378,3,1,City Center,284,17908,72183387
